station,date,sla_m
Wat Khun Samut Chin,2013-06-01,-0.184967
Wat Khun Samut Chin,2013-07-01,-0.095633
Wat Khun Samut Chin,2013-08-01,-0.1086
Wat Khun Samut Chin,2013-09-01,-0.0552
Wat Khun Samut Chin,2013-10-01,0.1544
Wat Khun Samut Chin,2013-11-01,0.216867
Wat Khun Samut Chin,2013-12-01,0.258333
Wat Khun Samut Chin,2014-01-01,0.1814
Wat Khun Samut Chin,2014-02-01,0.3071
Wat Khun Samut Chin,2014-03-01,0.206433
Wat Khun Samut Chin,2014-04-01,0.036933
Wat Khun Samut Chin,2014-05-01,-0.0535
Wat Khun Samut Chin,2014-06-01,-0.177767
Wat Khun Samut Chin,2014-07-01,-0.135867
Wat Khun Samut Chin,2014-08-01,-0.0791
Wat Khun Samut Chin,2014-09-01,-0.094867
Wat Khun Samut Chin,2014-10-01,0.13
Wat Khun Samut Chin,2014-11-01,0.178067
Wat Khun Samut Chin,2014-12-01,0.3533
Wat Khun Samut Chin,2015-01-01,0.308833
Wat Khun Samut Chin,2015-02-01,0.1981
Wat Khun Samut Chin,2015-03-01,0.178133
Wat Khun Samut Chin,2015-04-01,0.079367
Wat Khun Samut Chin,2015-05-01,-0.043233
Wat Khun Samut Chin,2015-06-01,-0.149833
Wat Khun Samut Chin,2015-07-01,-0.119733
Wat Khun Samut Chin,2015-08-01,-0.125933
Wat Khun Samut Chin,2015-09-01,-0.070267
Wat Khun Samut Chin,2015-10-01,0.090133
Wat Khun Samut Chin,2015-11-01,0.216633
Wat Khun Samut Chin,2015-12-01,0.3194
Wat Khun Samut Chin,2016-01-01,0.340433
Wat Khun Samut Chin,2016-02-01,0.321167
Wat Khun Samut Chin,2016-03-01,0.255633
Wat Khun Samut Chin,2016-04-01,0.0715
Wat Khun Samut Chin,2016-05-01,0.025367
Wat Khun Samut Chin,2016-06-01,-0.091533
Wat Khun Samut Chin,2016-07-01,-0.069233
Wat Khun Samut Chin,2016-08-01,-0.1881
Wat Khun Samut Chin,2016-09-01,-0.159067
Wat Khun Samut Chin,2016-10-01,-0.039933
Wat Khun Samut Chin,2016-11-01,0.163267
Wat Khun Samut Chin,2016-12-01,0.216167
Wat Khun Samut Chin,2017-01-01,0.253933
Wat Khun Samut Chin,2017-02-01,0.2543
Wat Khun Samut Chin,2017-03-01,0.2508
Wat Khun Samut Chin,2017-04-01,0.1502
Wat Khun Samut Chin,2017-05-01,-0.033967
Wat Khun Samut Chin,2017-06-01,-0.137867
Wat Khun Samut Chin,2017-07-01,-0.0524
Wat Khun Samut Chin,2017-08-01,-0.031467
Wat Khun Samut Chin,2017-09-01,0.023967
Wat Khun Samut Chin,2017-10-01,0.078833
Wat Khun Samut Chin,2017-11-01,0.194967
Wat Khun Samut Chin,2017-12-01,0.2618
Wat Khun Samut Chin,2018-01-01,0.208433
Wat Khun Samut Chin,2018-02-01,0.104533
Wat Khun Samut Chin,2018-03-01,0.031067
Wat Khun Samut Chin,2018-04-01,0.03
Wat Khun Samut Chin,2018-05-01,-0.042533
Wat Khun Samut Chin,2018-06-01,-0.112867
Wat Khun Samut Chin,2018-07-01,-0.118
Wat Khun Samut Chin,2018-08-01,-0.051933
Wat Khun Samut Chin,2018-09-01,-0.059967
Wat Khun Samut Chin,2018-10-01,0.054967
Wat Khun Samut Chin,2018-11-01,0.186233
Wat Khun Samut Chin,2018-12-01,0.217867
Wat Khun Samut Chin,2019-01-01,0.259733
Wat Khun Samut Chin,2019-02-01,0.165367
Wat Khun Samut Chin,2019-03-01,0.1077
Wat Khun Samut Chin,2019-04-01,0.100833
Wat Khun Samut Chin,2019-05-01,0.0532
Wat Khun Samut Chin,2019-06-01,-0.009333
Wat Khun Samut Chin,2019-07-01,-0.0268
Wat Khun Samut Chin,2019-08-01,-0.111
Wat Khun Samut Chin,2019-09-01,-0.1346
Wat Khun Samut Chin,2019-10-01,0.100167
Wat Khun Samut Chin,2019-11-01,0.286333
Wat Khun Samut Chin,2019-12-01,0.321433
Wat Khun Samut Chin,2020-01-01,0.234867
Wat Khun Samut Chin,2020-02-01,0.267
Wat Khun Samut Chin,2020-03-01,0.148
Wat Khun Samut Chin,2020-04-01,0.150533
Wat Khun Samut Chin,2020-05-01,0.051467
Wat Khun Samut Chin,2020-06-01,-0.125667
Wat Khun Samut Chin,2020-07-01,-0.1644
Wat Khun Samut Chin,2020-08-01,-0.037367
Wat Khun Samut Chin,2020-09-01,-0.0061
Wat Khun Samut Chin,2020-10-01,0.079667
Wat Khun Samut Chin,2020-11-01,0.244367
Wat Khun Samut Chin,2020-12-01,0.299333
Wat Khun Samut Chin,2021-01-01,0.3216
Wat Khun Samut Chin,2021-02-01,0.164433
Wat Khun Samut Chin,2021-03-01,0.0461
Wat Khun Samut Chin,2021-04-01,0.0015
Wat Khun Samut Chin,2021-05-01,-0.026333
Wat Khun Samut Chin,2021-06-01,-0.085167
Wat Khun Samut Chin,2021-07-01,-0.061567
Wat Khun Samut Chin,2021-08-01,-0.056
Wat Khun Samut Chin,2021-09-01,-0.106667
Wat Khun Samut Chin,2021-10-01,-0.003333
Wat Khun Samut Chin,2021-11-01,0.222
Wat Khun Samut Chin,2021-12-01,0.255
Wat Khun Samut Chin,2022-01-01,0.225133
Wat Khun Samut Chin,2022-02-01,0.2518
Wat Khun Samut Chin,2022-03-01,0.108267
Wat Khun Samut Chin,2022-04-01,0.100267
Wat Khun Samut Chin,2022-05-01,0.0168
Wat Khun Samut Chin,2022-06-01,-0.003533
Wat Khun Samut Chin,2022-07-01,-0.004133
Wat Khun Samut Chin,2022-08-01,-0.031967
Wat Khun Samut Chin,2022-09-01,-0.0491
Wat Khun Samut Chin,2022-10-01,0.109633
Wat Khun Samut Chin,2022-11-01,0.254333
Wat Khun Samut Chin,2022-12-01,0.376467
Wat Khun Samut Chin,2023-01-01,0.2947
Wat Khun Samut Chin,2023-02-01,0.2848
Wat Khun Samut Chin,2023-03-01,0.221967
Wat Khun Samut Chin,2023-04-01,0.124333
Wat Khun Samut Chin,2023-05-01,0.093033
Wat Khun Samut Chin,2023-06-01,-0.050633
Wat Khun Samut Chin,2023-07-01,-0.1132
Wat Khun Samut Chin,2023-08-01,-0.161167
Wat Khun Samut Chin,2023-09-01,-0.028267
Wat Khun Samut Chin,2023-10-01,0.112967
Wat Khun Samut Chin,2023-11-01,0.278633
Wat Khun Samut Chin,2023-12-01,0.318767
Wat Khun Samut Chin,2024-01-01,0.322333
Wat Khun Samut Chin,2024-02-01,0.2817
Wat Khun Samut Chin,2024-03-01,0.1419
Wat Khun Samut Chin,2024-04-01,0.044567
Wat Khun Samut Chin,2024-05-01,0.0575
Wat Khun Samut Chin,2024-06-01,-0.085233
Wat Khun Samut Chin,2024-07-01,0.007367
Wat Khun Samut Chin,2024-08-01,0.021967
Wat Khun Samut Chin,2024-09-01,-0.0731
Wat Khun Samut Chin,2024-10-01,0.062133
Wat Khun Samut Chin,2024-11-01,0.289967
Wat Khun Samut Chin,2024-12-01,0.273267
Laem Chabang Port,1993-01-01,0.1438
Laem Chabang Port,1993-02-01,-0.006625
Laem Chabang Port,1993-03-01,-0.029575
Laem Chabang Port,1993-04-01,0.012625
Laem Chabang Port,1993-05-01,-0.08175
Laem Chabang Port,1993-06-01,-0.1987
Laem Chabang Port,1993-07-01,-0.216025
Laem Chabang Port,1993-08-01,-0.2298
Laem Chabang Port,1993-09-01,-0.193525
Laem Chabang Port,1993-10-01,0.03385
Laem Chabang Port,1993-11-01,0.027975
Laem Chabang Port,1993-12-01,0.161825
Laem Chabang Port,1994-01-01,0.1633
Laem Chabang Port,1994-02-01,0.07605
Laem Chabang Port,1994-03-01,0.13015
Laem Chabang Port,1994-04-01,0.000975
Laem Chabang Port,1994-05-01,-0.11725
Laem Chabang Port,1994-06-01,-0.226425
Laem Chabang Port,1994-07-01,-0.18775
Laem Chabang Port,1994-08-01,-0.161225
Laem Chabang Port,1994-09-01,-0.122875
Laem Chabang Port,1994-10-01,0.06295
Laem Chabang Port,1994-11-01,0.231575
Laem Chabang Port,1994-12-01,0.181125
Laem Chabang Port,1995-01-01,0.22665
Laem Chabang Port,1995-02-01,0.06345
Laem Chabang Port,1995-03-01,0.00505
Laem Chabang Port,1995-04-01,-0.04005
Laem Chabang Port,1995-05-01,-0.071625
Laem Chabang Port,1995-06-01,-0.21985
Laem Chabang Port,1995-07-01,-0.17195
Laem Chabang Port,1995-08-01,-0.187925
Laem Chabang Port,1995-09-01,-0.184775
Laem Chabang Port,1995-10-01,-0.089
Laem Chabang Port,1995-11-01,0.217375
Laem Chabang Port,1995-12-01,0.2223
Laem Chabang Port,1996-01-01,0.14535
Laem Chabang Port,1996-02-01,0.162525
Laem Chabang Port,1996-03-01,-0.034425
Laem Chabang Port,1996-04-01,-0.043575
Laem Chabang Port,1996-05-01,-0.0921
Laem Chabang Port,1996-06-01,-0.162625
Laem Chabang Port,1996-07-01,-0.195025
Laem Chabang Port,1996-08-01,-0.173625
Laem Chabang Port,1996-09-01,-0.12635
Laem Chabang Port,1996-10-01,-0.023225
Laem Chabang Port,1996-11-01,0.107375
Laem Chabang Port,1996-12-01,0.1094
Laem Chabang Port,1997-01-01,0.080975
Laem Chabang Port,1997-02-01,0.08855
Laem Chabang Port,1997-03-01,0.0739
Laem Chabang Port,1997-04-01,-0.0634
Laem Chabang Port,1997-05-01,-0.089825
Laem Chabang Port,1997-06-01,-0.20375
Laem Chabang Port,1997-07-01,-0.155775
Laem Chabang Port,1997-08-01,-0.1853
Laem Chabang Port,1997-09-01,-0.0875
Laem Chabang Port,1997-10-01,-0.037225
Laem Chabang Port,1997-11-01,0.085925
Laem Chabang Port,1997-12-01,0.188675
Laem Chabang Port,1998-01-01,0.128125
Laem Chabang Port,1998-02-01,0.0357
Laem Chabang Port,1998-03-01,0.076125
Laem Chabang Port,1998-04-01,-0.0379
Laem Chabang Port,1998-05-01,-0.03405
Laem Chabang Port,1998-06-01,-0.1806
Laem Chabang Port,1998-07-01,-0.209975
Laem Chabang Port,1998-08-01,-0.146725
Laem Chabang Port,1998-09-01,-0.16875
Laem Chabang Port,1998-10-01,-0.05005
Laem Chabang Port,1998-11-01,-0.013975
Laem Chabang Port,1998-12-01,0.1399
Laem Chabang Port,1999-01-01,0.143475
Laem Chabang Port,1999-02-01,0.054275
